E_eV,a_0_A=2.27727
686.2430947254305,-3.761912654618652e-05
727.1687722192038,-3.654517882839585e-05
770.5351461530549,-3.550189008135857e-05
816.4877730449796,-3.4488385055309644e-05
865.1808900090456,-3.3503813487042045e-05
916.7779324426061,-3.2547349386592566e-05
971.4520825869748,-3.1618190344291254e-05
1029.3868508027717,-3.071555685759311e-05
1090.7766915109553,-2.983869167712746e-05
1155.8276558669077,-2.8986859171416104e-05
1224.7580833582317,-2.8159344709727514e-05
1297.7993346475664,-2.735545406254931e-05
1375.1965681201607,-2.6574512819175854e-05
1457.209562742639,-2.581586582192264e-05
1544.1135899948315,-2.507887661649265e-05
1636.200337801256,-2.436292691803356e-05
1733.7788895633676,-2.3667416092437973e-05
1837.1767615786375,-2.2991760652451352e-05
1946.7410023284917,-2.2335393768165124e-05
2062.839357324804,-2.169776479148415e-05
2185.861503424672,-2.1078338794169616e-05
2316.220356756384,-2.0476596119069894e-05
2454.3534586465407,-1.9892031944162815e-05
2600.7244442001165,-1.9324155859043587e-05
2755.8245984626415,-1.8772491453503177e-05
2920.174505387701,-1.8236575917851846e-05
3094.325795144362,-1.771595965465265e-05
3278.862995629286,-1.7210205901539138e-05
3474.4054943980086,-1.671889036480084e-05
3681.6096176004703,-1.6241600863429083e-05
3901.170832898638,-1.577793698332459e-05
4133.826083760148,-1.5327509741376727e-05
4380.356262962907,-1.4889941259132563e-05
4641.588833612782,-1.4464864445782045e-05
4918.400606471699,-1.4051922690193259e-05
5211.720682918044,-1.3650769561739408e-05
5522.53357341725,-1.3261068519666629e-05
5851.882501969514,-1.288249263075872e-05
6200.87290762581,-1.2514724295061907e-05
6570.676154824831,-1.2157454979439704e-05
6962.533465004367,-1.1810384958734088e-05
7377.760082683312,-1.147322306431611e-05
7817.749689997524,-1.11456864398148e-05
8283.979084506618,-1.0827500303819491e-05
8778.01313597249,-1.0518397719356546e-05
9301.510038746646,-1.0218119369947003e-05
9856.22687739571,-9.926413342057321e-06
10444.025524245699,-9.643034913760717e-06
11066.87888863989,-9.367746349431756e-06
11726.877538885456,-9.100316700302011e-06
12426.236719115055,-8.840521610709414e-06
13167.303784615016,-8.58814312987882e-06
13952.566080576338,-8.3429695290758e-06
14784.65929071304,-8.104795123980353e-06
15666.376283769463,-7.873420102131475e-06
16600.676487609297,-7.648650355297773e-06
17590.69582234984,-7.430297316633627e-06
18639.75722588148,-7.218177802484145e-06
19751.38180710058,-7.012113858706296e-06
20929.300664290975,-6.811932611377219e-06
22177.46740832167,-6.617466121764529e-06
23500.071432694094,-6.428551245436904e-06
24901.551974979007,-6.245029495396771e-06
26386.61301683937,-6.0667469091202775e-06
27960.239072650154,-5.893553919392985e-06
29627.711919708698,-5.725305228832943e-06
31394.628326189355,-5.5618596879958575e-06
33266.91883634535,-5.403080176960119e-06
35250.86767600913,-5.2488334902923074e-06
37353.133845202785,-5.098990225296722e-06
39580.77346865453,-4.953424673455128e-06
41941.263479239446,-4.812014714965689e-06
44442.526713836356,-4.6746417162925874e-06
47092.958505833616,-4.541190430640383e-06
49901.45486353981,-4.411548901269641e-06
52877.44232907843,-4.2856083675726735e-06
56030.90961798617,-4.163263173830638e-06
59372.441145710975,-4.044410680575432e-06
62913.25255353957,-3.928951178482008e-06
66665.22835319501,-3.816787804718896e-06
70640.9618164559,-3.7078264616867384e-06
74853.79724368441,-3.601975738076677e-06
79317.87475313466,-3.499146832182343e-06
84048.17774137396,-3.3992534774011513e-06
89060.58317411506,-3.3022118698623648e-06
94371.91487625704,-3.2079405981212226e-06
100000.0,-3.1163605748601677e-06
