E_eV,a_0_A=1.1469,a_1_A=1.78756,a_2_A=1.87069,a_3_A=2.27727,a_4_A=2.404
10.0,-0.04702609072454951,-0.0018665483325468913,-0.0013368655913458354,-0.00031163605748601677,-0.0002081473312887428
10.596372886056477,-0.04568359377028765,-0.0018132622649019226,-0.0012987008628517795,-0.00030273949705398516,-0.00020220515846537017
11.228311834035287,-0.04437942230820327,-0.0017614974035153471,-0.0012616256578748622,-0.0002940969148944272,-0.0001964326223010131
11.897937907435857,-0.043112482225310916,-0.0017112103211165326,-0.001225608872787697,-0.00028570106045659553,-0.00019082488002233975
12.607498664233685,-0.04188171064327223,-0.001662358830192982,-0.001190620291906683,-0.000277544890177867,-0.0001853772271071116
13.359375700667908,-0.04068607502671188,-0.0016149019475978192,-0.0011566305621430587,-0.0002696215615746621,-0.00018008509333740215
14.156092644919916,-0.039524572316989144,-0.0015687998601676629,-0.0011236111683776177,-0.0002619244275020577,-0.00017494403896548902
15.000323627513291,-0.038396228090698606,-0.001524013891322031,-0.0010915344095384207,-0.000254447030577275,-0.0001699497509892012
15.894902256865416,-0.037300095742193645,-0.001480506468616266,-0.0010603733753614423,-0.00024718309776236536,-0.0001650980395335972
16.84283113011666,-0.036235255689447576,-0.0014382410922207595,-0.0010301019238146533,-0.00024012653510154972,-0.00016038483433593973
17.847291911159612,-0.03520081460258538,-0.0013971823043000225,-0.0010006946591665945,-0.00023327142260879484,-0.00015580618133101567
18.91165600969468,-0.03419590465443956,-0.001357295659265925,-0.0009721269106810509,-0.00022661200930134003,-0.00015135823933393896
20.03949589715557,-0.03321968279250093,-0.0013185476948801439,-0.000944374711919949,-0.00022014270837500565,-0.00014703727681765277
21.23459709748593,-0.03227133003165372,-0.0012809059041815707,-0.0009174147806371087,-0.00021385809251723632,-0.00014283966878242627
22.50097089301335,-0.03135005076710159,-0.0012443387082151387,-0.0008912244992459918,-0.0002077528893539471,-0.00013876189371472166
23.842867788067263,-0.03045507210690822,-0.0012088154295391825,-0.0008657818958450526,-0.00020182197702635325,-0.00013480053063287883
25.26479177553053,-0.029585643223592487,-0.0011743062664891072,-0.0008410656257847757,-0.0001960603798940715,-0.00013095225621713943
26.77151545420944,-0.028741034724234137,-0.0011407822681757784,-0.0008170549537609375,-0.00019046326436088917,-0.00012721384202160323
28.368096047762684,-0.027920538038561805,-0.0011082153101976524,-0.000793729736419067,-0.00018502593481969928,-0.00012358215176577682
30.059892378955837,-0.027123464824509714,-0.0010765780710462797,-0.0007710704054555132,-0.00017974382971319873,-0.00012005413870344349
31.852582856214337,-0.026349146390744514,-0.0010458440091853766,-0.0007490579512009413,-0.00017461251770704546,-0.00011662684306664571
33.752184532845696,-0.02559693313567783,-0.001015987340784245,-0.000727673906672487,-0.0001696276939722643,-0.00011329738958263726
35.76507330290209,-0.02486619400249378,-0.0009869830180868576,-0.0007069003320811876,-0.00016478517657378226,-0.00011006298506172082
37.89800530146941,-0.02415631594973431,-0.0009588067083984553,-0.0006867197997816935,-0.00016008090296206306,-0.00010692091605394774
40.15813958121152,-0.02346670343699835,-0.0009314347736720414,-0.0006671153796516363,-0.00015551092656489957,-0.00010386854657271461
42.55306214128212,-0.022796777925322965,-0.0009048442506776321,-0.0006480706248883824,-0.00015107141347650175,-0.0001009033158833458
45.09081138925582,-0.022145977391827765,-0.0008790128317376364,-0.0006295695582112612,-0.0001467586392411056,-9.802273635480763e-05
47.77990512153969,-0.021513755858215144,-0.000853918846012201,-0.0006115966584576913,-0.00014256898572840258,-9.522439137275184e-05
50.62936911282342,-0.020899582932730833,-0.0008295412413188189,-0.0005941368475619591,-0.00013849893809816938,-9.250593331213695e-05
53.64876741052673,-0.02030294336520056,-0.0008058595664709509,-0.0005771754779057251,-0.00013454508185155114,-8.986508156772724e-05
56.848234435925576,-0.019723336614769486,-0.0007828539541208418,-0.000560698320029649,-0.00013070409996652436,-8.729962064081698e-05
60.23850899970239,-0.019160276429981745,-0.0007605051040921396,-0.0005446915506958206,-0.00012697277011513618,-8.48073982805745e-05
63.83097034609155,-0.018613290440847897,-0.0007387942671883331,-0.0005291417412909837,-0.00012334796196018623,-8.238632367844712e-05
67.63767634659995,-0.018081919762557918,-0.0007177032294634242,-0.0005140358465608243,-0.00011982663452908187,-8.003436571411206e-05
71.67140397149751,-0.017565718610507472,-0.000697214296941641,-0.0004993611936658716,-0.00011640583366266492,-7.774955125150175e-05
75.94569217491767,-0.01706425392631426,-0.0006773102807733705,-0.00048510547154982853,-0.00011308268953686878,-7.552996348347409e-05
80.47488733750892,-0.01657710501451095,-0.0006579744828148594,-0.0004712567206114173,-0.00010985441425512747,-7.337374032373906e-05
85.27419141916292,-0.016103863189609643,-0.0006391906816195828,-0.0004578033226710695,-0.00010671829950951584,-7.12790728446922e-05
