E_eV,V_m_per_s,I1,I2,I3,Phi
120.71493539503045,6516376.968405809,-1.4949563853308362e-12,-1.057905554145518e-12,-4.515995101992224e-16,-2.5533135389865536e-12
127.914046836196,6707872.766150968,-1.452278493906337e-12,-1.027704553754991e-12,-4.387072846782924e-16,-2.4804217549460064e-12
135.54249376408254,6904996.022333821,-1.4108189674015864e-12,-9.983657290294036e-13,-4.2618310534680405e-16,-2.4096108795363372e-12
143.62588058302035,7107912.110235878,-1.3705430240354762e-12,-9.698644666490772e-13,-4.1401646525253663e-16,-2.3408215071498057e-12
152.1913386745902,7316791.2629385935,-1.3314168749743134e-12,-9.421768559533519e-13,-4.021971573948746e-16,-2.27399592808506e-12
161.26761746240678,7531808.716137596,-1.293407695985238e-12,-9.152796688811313e-13,-3.907152661618121e-16,-2.209078080132531e-12
170.8851809077575,7753144.855153747,-1.2564835998988804e-12,-8.891503404840917e-13,-3.795611590114166e-16,-2.146013501541984e-12
181.07630975998174,7980985.366264427,-1.2206136098581465e-12,-8.637669499961884e-13,-3.687254783907665e-16,-2.0847492853327258e-12
191.87520990478345,8215521.392481944,-1.1857676333307013e-12,-8.391082024435968e-13,-3.581991338855886e-16,-2.025234034908184e-12
203.31812717414422,8456949.693909789,-1.151916436863338e-12,-8.151534107796448e-13,-3.479732945940057e-16,-1.9674178209375767e-12
215.44346900318845,8705472.812811261,-1.1190316215570573e-12,-7.918824785297617e-13,-3.3803938171799773e-16,-1.911252139468537e-12
228.2919333423335,8961299.24352893,-1.0870855992422828e-12,-7.692758829318723e-13,-3.2838906136636223e-16,-1.856689871235522e-12
241.90664525741153,9224643.607397506,-1.056051569334225e-12,-7.47314658558101e-13,-3.190142375631344e-16,-1.803685242129889e-12
256.3333016762518,9495726.832796838,-1.0259034963489757e-12,-7.259803814040412e-13,-3.0990704545560285e-16,-1.7521937847984725e-12
271.62032476755695,9774776.340496114,-9.966160880614715e-13,-7.052551534322423e-13,-3.0105984471622167e-16,-1.70217230133843e-12
287.8190244668795,10062026.234444736,-9.681647742870003e-13,-6.851215875569481e-13,-2.924652131328848e-16,-1.6535788270570813e-12
304.9837706952068,10357717.498169938,-9.405256862684547e-13,-6.655627930574915e-13,-2.841159403821843e-16,-1.6063725952663283e-12
323.1721758481955,10662098.196945915,-9.13675636652034e-13,-6.46562361408104e-13,-2.760050219804297e-16,-1.5605140030821185e-12
342.44528816856945,10975423.685904065,-8.875921000345986e-13,-6.281043525122549e-13,-2.681256534073522e-16,-1.5159645782002608e-12
362.8677966507226,11297956.824258935,-8.62253194066357e-13,-6.101732813299732e-13,-2.6047122439756566e-16,-1.4726869466207278e-12
384.5082481652772,11629968.195829587,-8.376376610930335e-13,-5.927541048869306e-13,-2.530353133949944e-16,-1.430644801293359e-12
407.4392775323618,11971736.336041411,-8.1372485032211e-13,-5.758322096543868e-13,-2.458116821656151e-16,-1.3898028716586625e-12
431.7378513158359,12323547.965598779,-7.904947004981881e-13,-5.593933992894135e-13,-2.3879427056399433e-16,-1.3501268940581656e-12
457.48552615674055,12685698.231024629,-7.679277230729318e-13,-5.43423882725108e-13,-2.319771914492299e-16,-1.3115835829894891e-12
484.7687225130567,13058490.952268736,-7.460049858554731e-13,-5.27910262600806e-13,-2.2535472574603167e-16,-1.274140603182025e-12
513.679014724559,13442238.8775924,-7.247080971295661e-13,-5.128395240225898e-13,-2.1892131764679903e-16,-1.2377665424698026e-12
544.3134383763522,13837263.945943424,-7.040191902241605e-13,-4.981990236446577e-13,-2.126715699506676e-16,-1.2024308854387688e-12
576.7748159927352,14243897.557041435,-6.839209085244564e-13,-4.839764790624003e-13,-2.066002395356175e-16,-1.1681039878263923e-12
611.1721021545633,14662480.849400176,-6.643963909108589e-13,-4.701599585082801e-13,-2.0070223295984344e-16,-1.1347570516520988e-12
647.6207491984753,15093364.986519996,-6.454292576136236e-13,-4.567378708418744e-13,-1.9497260218869608e-16,-1.1023621010576867e-12
686.2430947254305,15536911.451490635,-6.270035964713198e-13,-4.436989558256796e-13,-1.8940654044361057e-16,-1.0708919588374432e-12
727.1687722192038,15993492.350251464,-6.091039495815869e-13,-4.310322746785226e-13,-1.8399937816953958e-16,-1.040320223638279e-12
770.5351461530549,16463490.723763576,-5.917153003329841e-13,-4.187272008986516e-13,-1.7874657911750751e-16,-1.0106212478107531e-12
816.4877730449796,16947300.86935563,-5.748230608070546e-13,-4.0677341134880975e-13,-1.7364373653900012e-16,-9.817701158924034e-13
865.1808900090456,17445328.671513066,-5.584130595400325e-13,-3.9516087759580934e-13,-1.686865694889957e-16,-9.537426237053307e-13
916.7779324426061,17957991.942388136,-5.424715296339289e-13,-3.838798574973456e-13,-1.6387091923453727e-16,-9.265152580505091e-13
971.4520825869748,18485720.77231647,-5.26985097207022e-13,-3.7292088702898743e-13,-1.5919274576583317e-16,-9.000651769817752e-13
1029.3868508027717,19028957.89063423,-5.11940770174061e-13,-3.622747723444919e-13,-1.5464812440695745e-16,-8.743701906429598e-13
1090.7766915109553,19588159.037098523,-4.973259273467713e-13,-3.519325820627788e-13,-1.5023324252330838e-16,-8.494087426520734e-13
1155.8276558669077,20163793.344222702,-4.831283078455194e-13,-3.4188563977509785e-13,-1.4594439632306196e-16,-8.251598920169403e-13
1224.7580833582317,20756343.730847295,-4.693360008132509e-13,-3.321255167660991e-13,-1.4177798774993737e-16,-8.016032955670999e-13
1297.7993346475664,21366307.307276748,-4.559374354230748e-13,-3.226440249427021e-13,-1.3773052146466725e-16,-7.787191908872416e-13
1375.1965681201607,21994195.792321857,-4.4292137117111037e-13,-3.134332099648318e-13,-1.3379860191264107e-16,-7.564883797378549e-13
1457.209562742639,22640535.94259777,-4.3027688844645353e-13,-3.0448534457225644e-13,-1.2997893047526073e-16,-7.348922119491852e-13
1544.1135899948315,23305869.99443768,-4.1799337937035076e-13,-2.957929221019311e-13,-1.2626830270261965e-16,-7.139125697749844e-13
1636.200337801256,23990756.118793014,-4.0606053889689454e-13,-2.8734865019040776e-13,-1.2266360562518237e-16,-6.935318526929275e-13
1733.7788895633676,24695768.889501665,-3.9446835616777757e-13,-2.7914544465602775e-13,-1.1916181514221078e-16,-6.737329626389476e-13
1837.1767615786375,25421499.76531718,-3.83207106113848e-13,-2.7117642355576524e-13,-1.1575999348474476e-16,-6.544992896630979e-13
1946.7410023284917,26168557.58610325,-3.722673412964255e-13,-2.634349014117357e-13,-1.1245528675100994e-16,-6.358146979949123e-13
2062.839357324804,26937569.083609805,-3.6163988398152865e-13,-2.5591438360252506e-13,-1.0924492251218403e-16,-6.17663512506566e-13
2185.861503424672,27729179.4072592,-3.5131581844036795e-13,-2.4860856091463486e-13,-1.0612620748651387e-16,-6.000305055624893e-13
2316.220356756384,28544052.665383615,-3.4128648346964294e-13,-2.415113042494728e-13,-1.0309652527983128e-16,-5.829008842443956e-13
2454.3534586465407,29382872.482367698,-3.3154346512536983e-13,-2.3461665948144685e-13,-1.0015333419057279e-16,-5.662602779410074e-13
